timestamp,room_temp,room_hum,room_batt_mv,cpu_usage,cpu_temp,gpu_temp,gpu_usage,ram_usage,disk_usage
2026-05-20 11:19:18,26.90,36,2856,0.90,,31.00,0.00,21.40,11.30
2026-05-20 11:19:49,26.92,36,2856,0.30,,31.00,0.00,21.40,11.30
2026-05-20 11:20:19,26.95,36,2856,0.90,,31.00,0.00,21.30,11.30
2026-05-20 11:20:50,26.95,36,2856,0.40,,31.00,0.00,21.30,11.30
2026-05-20 11:21:21,26.96,36,2856,3.90,,31.00,0.00,21.30,11.30
2026-05-20 11:21:51,27.02,36,2856,0.40,,31.00,0.00,21.30,11.30
2026-05-20 11:22:22,27.02,36,2856,0.60,,31.00,0.00,21.40,11.30
2026-05-20 11:22:52,27.04,37,2856,0.60,,31.00,0.00,21.40,11.30
2026-05-20 11:23:23,27.07,37,2856,0.50,,31.00,1.00,21.40,11.30
2026-05-20 11:23:53,27.07,37,2856,0.90,,31.00,0.00,21.40,11.30
2026-05-20 11:24:24,27.06,37,2859,0.60,,31.00,0.00,21.40,11.30
2026-05-20 11:24:54,27.07,37,2859,1.00,,31.00,0.00,21.40,11.30
2026-05-20 11:25:25,27.09,36,2859,3.20,,31.00,0.00,21.40,11.30
2026-05-20 11:25:55,27.12,36,2859,0.90,,31.00,0.00,21.40,11.30
2026-05-20 11:26:26,27.12,36,2859,1.60,,31.00,0.00,21.40,11.30
2026-05-20 11:26:56,27.13,36,2859,0.40,,31.00,0.00,21.40,11.30
2026-05-20 11:27:27,27.14,36,2859,1.00,,30.00,0.00,21.40,11.30
2026-05-20 11:27:57,27.13,36,2859,0.50,,30.00,0.00,21.40,11.30
2026-05-20 11:28:28,27.15,35,2859,0.40,,30.00,0.00,21.30,11.30
2026-05-20 11:28:58,27.16,35,2859,0.40,,30.00,0.00,21.30,11.30
2026-05-20 11:29:29,27.16,35,2857,0.40,,30.00,0.00,21.30,11.30
2026-05-20 11:29:59,27.16,35,2857,0.30,,30.00,0.00,21.40,11.30
2026-05-20 11:30:30,27.19,35,2857,1.00,,30.00,0.00,21.40,11.30
2026-05-20 11:31:00,27.15,35,2857,0.90,,30.00,0.00,21.30,11.30
2026-05-20 11:31:31,27.17,35,2857,0.30,,30.00,0.00,21.30,11.30
2026-05-20 11:32:01,27.18,35,2857,0.80,,30.00,1.00,21.40,11.30
2026-05-20 11:32:32,27.15,35,2857,1.10,,30.00,0.00,21.30,11.30
